class,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21
1,1.0,1.0,1.0,1.7021511492367438,0.6372835724451635,1.0,1.8902902156959898,1.52149919907374,1.0,1.5400373496986115,1.800112871472264,1.0,0.8361299429074635,1.7296806959843334,1.0,2.425901921777947,7.287690084472546,1.0,1.2768808449428208,4.950893773466821,1.0,0.9878676905847295,4.477417491207787,1.0,0.8180849025049619,4.399115044572666,1.0,0.9208574037284258,5.995892664488826,1.0,0.6059539611373758,2.729521151179177,1.0,0.63179072832365,1.6772285530514974,1.0,0.6248875362119252,1.4674379032613556,1.0,-0.13898137896743964,4.3067609406738665,1.0,0.17050524936139808,2.4278874361179357,1.0,0.3516537225393911,1.9731432894552983,1.0,0.43723500725168674,2.4384881536908094,1.0,-0.7398546984562234,2.877151380656058,1.0,-0.2969496995123078,2.3348115481047125,1.0,-0.1311846590873232,2.0835775598452733,1.0,-0.177616200244236,2.449392784458919,1.0
1,1.0,1.0,1.0,1.7419110152939659,0.5310897089745906,1.0,1.9223226129121274,1.3440556370800951,1.0,1.5742873711690952,1.6289579661765348,1.0,0.8718969831307052,1.6142863027377319,1.0,2.7610585359961686,7.195679592353759,1.0,1.4549619214377527,4.829845877323233,1.0,1.1446922149382024,4.36992008736931,1.0,0.9779762861253013,4.310765204052338,1.0,1.206407970105976,5.9580977587390676,1.0,0.7280515724666653,2.642911750898137,1.0,0.6968662002291338,1.578802030490003,1.0,0.6714426892094585,1.362252214409952,1.0,0.07739448921770156,4.288328821580407,1.0,0.27313019606647565,2.3692455463348825,1.0,0.43030523907494844,1.8666235713612291,1.0,0.5401089738844005,2.227495114167944,1.0,-0.5775030018155657,2.8879265333361746,1.0,-0.18617272658122364,2.3372079572768376,1.0,-0.016738201769560417,2.0591445135663853,1.0,0.000832125877095885,2.336572387969929,1.0
1,1.0,1.0,1.0,1.7584811391847122,0.4557539371401245,1.0,1.9764230158307348,1.2909471553581153,1.0,1.6434926465211928,1.6134071049352583,1.0,0.9203141375608525,1.6245516389158823,1.0,2.978654707721215,7.32048720747585,1.0,1.6013316239286515,4.909583381544296,1.0,1.2720013617228008,4.41079193021927,1.0,1.1025484240203167,4.328676678029897,1.0,1.3677718405622572,6.228001207212958,1.0,0.7955081290666388,2.7116089848266802,1.0,0.7361698462858405,1.6245930880110078,1.0,0.7028477641504796,1.3763176627487532,1.0,0.1544548365190001,4.574074514669998,1.0,0.32631785856089485,2.430615945070229,1.0,0.4809951894487805,1.9048664445696568,1.0,0.6074282591100847,2.2407691472107674,1.0,-0.5555920974847136,3.1181024535532864,1.0,-0.14604655105843561,2.43808233025805,1.0,0.023406341984019533,2.1407885573988668,1.0,0.03524456162259883,2.4328375187094933,1.0
1,1.0,1.0,1.0,1.873331847718545,0.4914881641331152,1.0,2.1154822430359284,1.3660062793578518,1.0,1.7489984079183478,1.6876819379852908,1.0,0.9855092301136326,1.6800557410493115,1.0,3.094189686910848,7.3711591707831845,1.0,1.70077013379112,5.006188363245773,1.0,1.3478965010582042,4.482534564931703,1.0,1.1635174219964894,4.373738327331213,1.0,1.3870675537132056,6.079448986121431,1.0,0.8054715075899619,2.661095013431257,1.0,0.7372041550270333,1.5793692266462684,1.0,0.6970631357724398,1.2986204099423246,1.0,0.17700455237477153,4.418471787986206,1.0,0.3447626256236609,2.400139587603663,1.0,0.4929122536430442,1.8578388821973746,1.0,0.6102986983307329,2.064539521728312,1.0,-0.5337321263521113,3.02433455401634,1.0,-0.12580908257196555,2.406431704052611,1.0,0.050739803623598,2.100189900904709,1.0,0.0877759241348898,2.2895667779177877,1.0
1,1.0,1.0,1.0,1.7918305357268567,0.4457620437162317,1.0,2.0412816523715764,1.2613927917905452,1.0,1.7292475445214044,1.6233567846626313,1.0,1.1272825779553903,1.8124535914396156,1.0,2.9900068523136967,6.893239852426163,1.0,1.6591260965562828,4.840515189326284,1.0,1.3305412756234598,4.445478417441517,1.0,1.158843762105309,4.400145015292211,1.0,1.4416187222324366,6.293254765675013,1.0,0.9308430454576007,2.705024808304114,1.0,0.8622520801636748,1.650759548117502,1.0,0.8029385166322403,1.4026924713289521,1.0,0.22490368374597133,4.806451104424649,1.0,0.4397404553888603,2.4125569166347742,1.0,0.6044803499991667,1.9167506777181185,1.0,0.724045977245927,2.2831420108323766,1.0,-0.5260731030037481,3.3540153854439088,1.0,-0.032718377347945186,2.400197028628475,1.0,0.16257612586458087,2.0923359615419357,1.0,0.19754351018297625,2.3957229025847617,1.0
1,1.0,1.0,1.0,1.8236625043656225,0.42129575808072306,1.0,2.0958980051516374,1.3135875106123522,1.0,1.7640604338633352,1.6929001032619422,1.0,1.1585780545565694,1.8656658775310944,1.0,3.2758014335487906,7.514428786669756,1.0,1.7296978201633104,4.948805106638273,1.0,1.4038404423250586,4.5494933218825695,1.0,1.2332071869192869,4.517280584543343,1.0,1.5703902774953933,6.703073355514264,1.0,0.9852056674197698,2.804625945489075,1.0,0.9197698564115749,1.729444873294084,1.0,0.8734891907324684,1.6043543344115812,1.0,0.2695276424567906,4.961353766138059,1.0,0.4648628501900035,2.453272360377007,1.0,0.6387674858270199,2.0179018338198262,1.0,0.7943862975265662,2.7398682306306013,1.0,-0.4752627373259701,3.3763080624510238,1.0,-0.01157332206490835,2.3943739775966235,1.0,0.15757970572651792,2.1013373553275363,1.0,0.14534291678979538,2.5773423211208795,1.0
2,1.0,1.0,1.0,2.4495423320184693,0.9652282997780671,1.0,2.6155146761586163,2.015023838511576,1.0,1.7912003507375327,2.228356881109455,1.0,0.9850789398621805,2.1883538240609384,1.0,4.0539569662954165,10.551929561253774,1.0,2.660654127887043,7.522179844495446,1.0,2.352821500341395,6.982898028079115,1.0,2.183605087702839,6.894443175707974,1.0,1.3921847276757824,7.2167343528742744,1.0,0.8245460078833149,5.813847769856947,1.0,0.6854219840488381,5.497730190271112,1.0,0.613077436095523,5.668204755172407,1.0,0.08951698194525762,4.570959071401912,1.0,0.28069316073251466,2.9345006915763876,1.0,0.52160163704893,1.9757624454312146,1.0,0.6934114909979986,1.5234698180104063,1.0,-0.44874825106813726,2.7836864688445213,1.0,0.0485353555895181,2.110981140972274,1.0,0.31771024717425017,1.5773077431700842,1.0,0.48872726452656334,1.2283206735281242,1.0
2,1.0,1.0,1.0,2.2553123568789886,0.7719565701973443,1.0,2.472259100692392,1.8096537193634623,1.0,1.7242666247164875,2.0760053543377803,1.0,0.9503457187390223,2.0620339142159847,1.0,3.842570895695464,9.760569578994664,1.0,2.648293768565032,7.2933873033148044,1.0,2.365714269807066,6.866818378658071,1.0,2.1811691364209693,6.791730815481648,1.0,1.3821841213758623,6.985334413124571,1.0,0.8192586659521193,5.770056196742026,1.0,0.6630256421726632,5.476348799324183,1.0,0.5675361773644776,5.62790443248761,1.0,0.10623827613363479,4.523381269058099,1.0,0.2576483232724238,2.9134521093535874,1.0,0.5043489601675947,1.9493274212730791,1.0,0.6763475314227235,1.4874594476398122,1.0,-0.43381476562086096,2.7857815692105277,1.0,0.0411736495053294,2.076530343285235,1.0,0.2960576079157327,1.5279643080397065,1.0,0.4526927805900973,1.1703349682879676,1.0
2,1.0,1.0,1.0,2.3395613293395123,0.8453138707328162,1.0,2.5466017380912067,1.8980885641019345,1.0,1.7582077029315473,2.1505546923537167,1.0,0.9465339463006316,2.106966404480239,1.0,3.8709723587493023,9.96809634775464,1.0,2.677371591448794,7.428806427198574,1.0,2.3898600062456223,6.993811714124842,1.0,2.201923844015857,6.907303560691554,1.0,1.3573941135178378,7.001315471633223,1.0,0.7860676250163128,5.820664750842915,1.0,0.6375055880800187,5.547455488181186,1.0,0.5469450059289983,5.708690692967895,1.0,0.08916619325878684,4.484722023531321,1.0,0.24608702780072078,2.923521692352565,1.0,0.49833968626790365,1.964026192617728,1.0,0.6713608123236413,1.5008531638533609,1.0,-0.4434851063281274,2.73531809330401,1.0,0.021404461535149116,2.0685869943689217,1.0,0.2848129864747922,1.5264982541375112,1.0,0.44889213887980145,1.167153377612621,1.0
3,1.0,1.0,1.0,2.8087514305169323,1.1910280847457484,1.0,3.651026081387706,2.797088169426136,1.0,2.6144437950859944,3.4649207391491363,1.0,1.159234711909085,3.428175689651545,1.0,5.6143631421591165,12.46187748170495,1.0,4.400273536990521,10.443038035032044,1.0,3.84881931908247,9.6705192885857,1.0,3.3405125323540465,8.845659885484626,1.0,2.05391164178639,8.24828858400795,1.0,1.756168472303991,8.153530056654446,1.0,1.4620782195931483,7.510474793999008,1.0,1.286338603920666,7.192965122493593,1.0,0.4741482290389753,5.141100926241161,1.0,0.25597471530749816,4.388611696187323,1.0,0.21941579074898482,3.8823007076024476,1.0,0.18251933140597565,3.7636191183134753,1.0,-0.23395153449459222,3.164026427728178,1.0,0.15709047953827823,2.234268022876084,1.0,0.3015450817622216,1.53029709942021,1.0,0.3444486579466566,1.0612313866481786,1.0
